0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:48:43 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:48:56 +0300] "GET /northwind/category-form?categoryId=2 HTTP/1.1" 200 3527
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:48:56 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:48:56 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:48:56 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:48:56 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:51 +0300] "POST /northwind/categories-list HTTP/1.1" 200 4653
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:51 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:51 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:51 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:51 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:51 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:51 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:58 +0300] "GET /northwind/category-form? HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:58 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:58 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:58 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:50:58 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "POST /northwind/category-form?action=new HTTP/1.1" 200 4962
